Title,Subject,List,Send_Date,Send_Weekday,Total_Recipients,Successful_Deliveries,Soft_Bounces,Hard_Bounces,Total_Bounces,Times_Forwarded,Forwarded_Opens,Unique_Opens,Open_Rate,Total_Opens,Unique_Clicks,Click_Rate,Total_Clicks,Unsubscribes,Abuse_Complaints
Domino Effect Newsletter 1/7/2016,,Domino Blog & Lead,7-Jan-16,Thursday,323,322,0,1,1,0,0,115,35.71,160,10,3.11,0,6,2
Domino Effect Newsletter 1/7/2016 | Combo 2,How you can keep your resolution to save money,Domino Blog & Lead,7-Jan-16,Thursday,80,80,0,0,0,0,0,23,28.75,29,1,1.25,1,1,0
Domino Effect Newsletter 12/17/2015 | Winner,10 sustainable tips to de-stress your holidays,Domino Blog & Lead,17-Dec-15,Thursday,163,162,0,1,1,0,0,49,30.25,88,8,4.94,12,2,1
Domino Effect Newsletter 12/17/2015 | Combo 2,10 sustainable tips to de-stress your holidays,Domino Blog & Lead,17-Dec-15,Thursday,81,81,0,0,0,0,0,24,29.63,39,4,4.94,4,2,0
Domino Effect Newsletter 12/17/2015,,Domino Blog & Lead,17-Dec-15,Thursday,325,323,0,2,2,0,0,93,28.79,164,19,5.88,0,4,1
Domino Effect Newsletter 12/17/2015 | Combo 1,10 sustainable tips to light up your holidays,Domino Blog & Lead,17-Dec-15,Thursday,81,80,1,0,1,0,0,20,25,37,7,8.75,9,0,0
Domino Effect Newsletter 12/2/2015 | Combo 2,Why home solar may be the most affordable it will ever be,Domino Blog & Lead,3-Dec-15,Thursday,50,49,1,0,1,0,0,23,46.94,42,6,12.24,9,0,1
Domino Effect Newsletter 12/2/2015 | Combo 1,Why you should not wait to go solar,Domino Blog & Lead,3-Dec-15,Thursday,51,51,0,0,0,0,0,21,41.18,33,3,5.88,3,0,0
Domino Effect Newsletter 12/2/2015,,Domino Blog & Lead,3-Dec-15,Thursday,329,325,0,4,4,0,0,130,40,451,33,10.15,0,3,1
Domino Effect Newsletter 12/2/2015 | Winner,Why home solar may be the most affordable it will ever be,Domino Blog & Lead,3-Dec-15,Thursday,228,225,1,2,3,0,0,86,38.22,376,24,10.67,32,3,0
Domino Effect Newsletter 11/12/2015 | Combo 1,you could brew 234 cups of coffee each day with the energy you're wasting,Domino Blog & Lead,12-Nov-15,Thursday,14,14,0,0,0,0,0,7,50,19,0,0,0,0,0
Domino Effect Newsletter 11/12/2015 | Combo 2,_how you're basically lighting $165 on fire,Domino Blog & Lead,12-Nov-15,Thursday,13,13,0,0,0,0,0,6,46.15,8,0,0,0,0,0
Domino Effect Newsletter 11/12/2015,,Domino Blog & Lead,12-Nov-15,Thursday,55,55,0,0,0,0,0,24,43.64,44,2,3.64,0,0,0
Domino Effect Newsletter 11/12/2015 | Winner,_how you're basically lighting $165 on fire,Domino Blog & Lead,12-Nov-15,Thursday,28,27,1,0,1,0,0,11,40.74,17,2,7.41,2,0,0
Domino Effect Newsletter | Combo 2,What eating up your home energy budget?,Domino Blog & Lead,29-Oct-15,Thursday,13,13,0,0,0,0,0,5,38.46,5,0,0,0,0,0
Domino Effect Newsletter | Winner,What eating up your home energy budget?,Domino Blog & Lead,29-Oct-15,Thursday,27,27,0,0,0,0,0,10,37.04,14,3,11.11,5,0,0
Domino Effect Newsletter,,Domino Blog & Lead,29-Oct-15,Thursday,54,54,0,0,0,0,0,19,35.19,25,4,7.41,0,0,0
Domino Effect Newsletter | Combo 1,How to cut costs and keep your home cozy,Domino Blog & Lead,29-Oct-15,Thursday,14,13,1,0,1,0,0,4,30.77,6,1,7.69,1,0,0
Domino Effect Newsletter: Giveaway | Combo 1,Do you know how much energy you're wasting?,Domino Blog & Lead,15-Oct-15,Thursday,14,13,1,0,1,0,0,8,61.54,11,1,7.69,1,0,0
Domino Effect Newsletter: Giveaway | Winner,Do you know how much energy you're wasting?,Domino Blog & Lead,15-Oct-15,Thursday,27,27,0,0,0,0,0,14,51.85,23,4,14.81,5,0,0
Domino Effect Newsletter: Giveaway,,Domino Blog & Lead,15-Oct-15,Thursday,54,54,0,0,0,0,0,27,50,41,7,12.96,0,0,0
Domino Effect Newsletter: Giveaway | Combo 2,Enter to win a Nest thermostat + more,Domino Blog & Lead,15-Oct-15,Thursday,13,13,0,0,0,0,0,5,38.46,7,2,15.38,3,0,0
Domino Effect Newsletter,Read this article -- and be a hero,Domino Blog & Lead,1-Oct-15,Thursday,71,69,1,1,2,0,0,34,49.28,86,13,18.84,23,3,0
